J2,J3,Energy,Sigma,A1,A2,A3,L,mL
0,-0.3,-0.662295452397436,1.8370410798388728e-09,0.5242683352091188,0.0,0.1422323839422835,1.7786311869025855,1.7786190582331205
0,-0.24,-0.6497843793635563,7.419500314826237e-10,0.5244056483602976,0.0,0.14582464166896375,1.7855697485297974,1.7855578561804606
0,-0.18,-0.6374021794985796,9.840218398128723e-10,0.5245103849085352,0.0,0.1495327341686449,1.7927800923282504,1.7927684251525904
0,-0.12,-0.6251550544181752,2.5221549422807084e-10,0.524595583726505,0.0,0.15339503245995328,1.800325239182269,1.800313815294238
0,-0.06,-0.6130492296366696,9.930694851741099e-11,0.5246453752112464,0.0,0.1572288523269115,1.8081876857013457,1.8081764807961866
0,0.0,-0.6010909075681283,2.8079802417939075e-14,0.5246643735781985,0.0,0.15287185925773278,1.8163834596969164,1.8163724674257784
0,0.06,-0.5892862179650962,1.2723949760914772e-10,0.5246454069803459,0.0,0.16522795028455656,1.824909252018122,1.8248984635996242
0,0.12,-0.5776411694652093,1.522824793723497e-10,0.5245869965453205,0.0,0.16920596957432882,1.8337620245903603,1.8337514002313264
0,0.18,-0.5661615961828559,8.408604262971742e-10,0.5244886851035677,0.0,0.17328800948147527,1.8429606252541944,1.8429501860734956
0,0.24000000000000005,-0.5548531108514534,1.373232952290761e-09,0.5243403663746681,0.0,0.17749605491091497,1.8524953630480399,1.8524851000078695
0,0.3,-0.5437210550542264,2.625454743388665e-09,0.5241524473885868,0.0,0.18156602593576632,1.8623562093712183,1.8623461097522194
